Plant,SaleMan,Customer,Item,Description,ค่าเผื่อ,Back Order,Safety,สต็อก,มีพีโอ,เกินพีโอ,ผลิตล่าสุด,ขายล่าสุด,อายุ,Reason (ที่มา),Action (วิธีการ),Remarks,Commit Date,Planning Remarks
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-31049-100-00-0121-1,กระสอบสานใส ไม่พิพม์ 31x49 cm,-1,"377,000","50,000","143,898","143,898",0,17/02/2026,14/02/2026,ไม่เกิน 30 วัน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-41059-100-00-1007-1,กระสอบสานใส 41*59 ซม.ไม่พิมพ์,-1,"70,000",,"30,003","30,003",0,21/01/2026,14/02/2026,1 เดือน,,,,, สั่งผลิตเกินออเดอร์
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-41062-100-00-1098-1,กระสอบใสไม่พิมพ์ 41x62 ซม.,-1,"40,000","20,000","20,000","20,000",0,03/02/2026,04/02/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-41064-100-00-0069-1,กระสอบใส แบบไม่พิมพ์ 41x64,-1,"6,000","100,000","40,938","40,938",0,14/02/2026,14/02/2026,ไม่เกิน 30 วัน,10. ทำสต๊อคไว้ ลูกค้ายังไม่รับสินค้า,2. กลุ่มสต๊อคเชฟตี้ ติดตามพีโอเพื่อส่งมอบสินค้า,,, ตัดเกินยอดสั่งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-48078-100-00-0098-1,กระสอบใส 18x31นิ้ว,-1,"7,913",,"6,913","6,913",0,15/03/2024,17/02/2026,เกินปี,12. มีพีโอ ลูกค้ายังไม่รับสินค้า,1. มีพีโอผลักดันส่งมอบลูกค้า,,, สั่งผลิตเกิน
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-51053-100-00-0113-1,ถุง Master ไก่แจ้ แพ็ค 3,-1,"70,000",,"20,000","20,000",0,19/02/2026,09/02/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-51066-200-00-1092-E,"กระสอบ PP ใส ไม่พิมพ์ 20""x26""หรือ51x66cm",#DIV/0!,,,800,0,800,07/10/2025,10/10/2025,5-6 เดือน,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,4. ขอพีโอลูกค้าเพิ่ม เพื่อเคลียร์สต๊อคคงค้าง,หจก. สมบูรณ์พูนผล คุณปิยะวัฒน์ : รอ PO เรียกเข้าช่วง ส.ค.-ต.ค. 69,31/10/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-51069-100-00-0127-1,ถุง Master ไก่แจ้ แพ็ค 5,-1,"25,000",,"5,000","5,000",0,06/02/2026,09/02/2026,ไม่เกิน 30 วัน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,, ตัดเกินยอดสั้งผลิต
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-51074-200-00-1037-1,Masterใส ซิตโต้ 5 กกx6 แพ็ค,#DIV/0!,,,53,0,53,23/10/2024,23/10/2024,เกินปี,15. ผลิตเกิน order ที่มี % ค่าเผื่อ ,7. ขายเกรดบี,หจก. กลิ้งโพลีแพ็ค คุณเขตรัฐ : ลูกค้าไม่ใช้แล้ว,31/01/2026 0:00,-
P2/2,กระสอบขาว,กระสอบขาว,G91-01-000-51077-100-00-1055-1,ถุง Master 51*77 ซม.,#DIV/0!,"10,000",,"10,000","10,000",0,22/12/2025,16/12/2025,2-4 เดือน,23. มีพีโอส่งตามดิวในระบบ,1. มีพีโอผลักดันส่งมอบลูกค้า,,,-
